BaseName,Tag,Original_Value,Converted_Value,Change_Status
"ares da terra","PDF:CreateDate","","2026:02:05 11:58:51-05:00","Added in converted"
"ares da terra","PDF:Creator","","Acrobat PDFMaker 25 for Word","Added in converted"
"ares da terra","PDF:Language","","PT-BR","Added in converted"
"ares da terra","PDF:Linearized","","Yes","Added in converted"
"ares da terra","PDF:ModifyDate","","2026:02:05 11:59:01-05:00","Added in converted"
"ares da terra","PDF:PDFVersion","","1.6","Added in converted"
"ares da terra","PDF:PageCount","","1","Added in converted"
"ares da terra","PDF:PageLayout","","OneColumn","Added in converted"
"ares da terra","PDF:Producer","","Adobe PDF Library 25.1.159","Added in converted"
"ares da terra","PDF:Subject","","","Modified"
"ares da terra","PDF:TaggedPDF","","Yes","Added in converted"
"ares da terra","PDF:Title","","","Modified"
"ares da terra","System:Directory","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC","Unchanged"
"ares da terra","System:FileAccessDate","2026:02:05 12:31:45-05:00","2026:02:05 12:31:46-05:00","Modified"
"ares da terra","System:FileCreateDate","2026:02:05 11:57:56-05:00","2026:02:05 11:58:59-05:00","Modified"
"ares da terra","System:FileModifyDate","2011:02:21 16:13:20-05:00","2026:02:05 11:59:01-05:00","Modified"
"ares da terra","System:FileName","ares da terra.docx","ares da terra.pdf","Modified"
"ares da terra","System:FilePermissions","-rw-rw-rw-","-rw-rw-rw-","Unchanged"
"ares da terra","System:FileSize","11 kB","471 kB","Modified"
"ares da terra","XML:AppVersion","12.0","","Removed from original"
"ares da terra","XML:Application","Microsoft Office Word","","Removed from original"
"ares da terra","XML:Characters","896","","Removed from original"
"ares da terra","XML:CharactersWithSpaces","1059","","Removed from original"
"ares da terra","XML:Company","","","Modified"
"ares da terra","XML:CreateDate","2011:02:21 19:27:00Z","","Removed from original"
"ares da terra","XML:DocSecurity","","","Modified"
"ares da terra","XML:HyperlinksChanged","No","","Removed from original"
"ares da terra","XML:Keywords","","","Modified"
"ares da terra","XML:LastModifiedBy","Casa","","Removed from original"
"ares da terra","XML:Lines","7","","Removed from original"
"ares da terra","XML:LinksUpToDate","No","","Removed from original"
"ares da terra","XML:ModifyDate","2011:02:21 20:13:00Z","","Removed from original"
"ares da terra","XML:Pages","1","","Removed from original"
"ares da terra","XML:Paragraphs","2","","Removed from original"
"ares da terra","XML:RevisionNumber","6","","Removed from original"
"ares da terra","XML:ScaleCrop","No","","Removed from original"
"ares da terra","XML:SharedDoc","No","","Removed from original"
"ares da terra","XML:Template","Normal","","Removed from original"
"ares da terra","XML:TotalEditTime","17 minutes","","Removed from original"
"ares da terra","XML:Words","165","","Removed from original"
"ares da terra","XMP-dc:Creator","Casa","Casa","Unchanged"
"ares da terra","XMP-dc:Description","","","Unchanged"
"ares da terra","XMP-dc:Format","","application/pdf","Added in converted"
"ares da terra","XMP-dc:Subject","","","Modified"
"ares da terra","XMP-dc:Title","","","Unchanged"
"ares da terra","XMP-pdf:Keywords","","","Modified"
"ares da terra","XMP-pdf:Producer","","Adobe PDF Library 25.1.159","Added in converted"
"ares da terra","XMP-pdfaExtension:SchemasNamespaceURI","","http://ns.adobe.com/xap/1.0/mm/","Added in converted"
"ares da terra","XMP-pdfaExtension:SchemasPrefix","","xmpMM","Added in converted"
"ares da terra","XMP-pdfaExtension:SchemasPropertyCategory","","internal","Added in converted"
"ares da terra","XMP-pdfaExtension:SchemasPropertyDescription","","UUID based identifier for specific incarnation of a document","Added in converted"
"ares da terra","XMP-pdfaExtension:SchemasPropertyName","","InstanceID","Added in converted"
"ares da terra","XMP-pdfaExtension:SchemasPropertyValueType","","URI","Added in converted"
"ares da terra","XMP-pdfaExtension:SchemasSchema","","XMP Media Management Schema","Added in converted"
"ares da terra","XMP-pdfaid:Conformance","","U","Added in converted"
"ares da terra","XMP-pdfaid:Part","","2","Added in converted"
"ares da terra","XMP-x:XMPToolkit","","Adobe XMP Core 9.1-c001 79.675d0f7, 2023/06/11-19:21:16        ","Added in converted"
"ares da terra","XMP-xmp:CreateDate","","2026:02:05 11:58:51-05:00","Added in converted"
"ares da terra","XMP-xmp:CreatorTool","","Acrobat PDFMaker 25 for Word","Added in converted"
"ares da terra","XMP-xmp:MetadataDate","","2026:02:05 11:59:01-05:00","Added in converted"
"ares da terra","XMP-xmp:ModifyDate","","2026:02:05 11:59:01-05:00","Added in converted"
"ares da terra","XMP-xmpMM:DocumentID","","uuid:1ae40920-5671-47be-b1b1-2132ca9fb0d6","Added in converted"
"ares da terra","XMP-xmpMM:HistoryAction","","converted","Added in converted"
"ares da terra","XMP-xmpMM:HistoryInstanceID","","uuid:42332738-4c18-4847-a558-302bca635e94","Added in converted"
